c,id,time,evid,amt,cmt,ss,ii,addl,rate,gut1,gut2,cent,cp,dv,mdv
.,1,26,0,0,2,0,0,0,0,4.630679711202963e-9,1.686007602501799e-5,1.15913877907352,0.0231827755814704,.,0
.,1,27,0,0,2,0,0,0,0,2.080698422027907e-9,9.25300588332805e-6,1.048839345559013,0.02097678691118026,.,0
.,1,28,0,0,2,0,0,0,0,9.349181751208392e-10,5.078157353158275e-6,0.949033039623642,0.01898066079247284,.,0
.,1,29,0,0,2,0,0,0,0,4.2008589147364784e-10,2.786951919231017e-6,0.8587227752364318,0.01717445550472864,.,0
.,1,30,0,0,2,0,0,0,0,1.8875685998415667e-10,1.52951178085097e-6,0.7770056896442553,0.0155401137928851,.,0
.,1,31,0,0,2,0,0,0,0,8.481393454012828e-11,8.394139239616153e-7,0.7030644755699402,0.0140612895113988,.,0
.,1,32,0,0,2,0,0,0,0,3.810936680717281e-11,4.606801616475503e-7,0.6361594034552576,0.01272318806910515,.,0
.,1,33,0,0,2,0,0,0,0,1.712364528984298e-11,2.528266503738089e-7,0.5756210289184196,0.01151242057836839,.,0
.,1,34,0,0,2,0,0,0,0,7.694148495239818e-12,1.387542169746894e-7,0.5208435535980441,0.01041687107196088,.,0
.,1,35,0,0,2,0,0,0,0,3.457201668837817e-12,7.614993407144149e-8,0.4712787955224481,0.009425575910448961,.,0
.,1,36,0,0,2,0,0,0,0,1.5534198000933819e-12,4.1791972842435655e-8,0.4264307210510568,0.008528614421021137,.,0
.,1,37,0,0,2,0,0,0,0,6.97996614662864e-13,2.293592260779122e-8,0.385850490462703,0.00771700980925406,.,0
.,1,38,0,0,2,0,0,0,0,3.1363064430839964e-13,1.2587502089793061e-8,0.349131971337498,0.006982639426749959,.,0
.,1,39,0,0,2,0,0,0,0,1.409237334360176e-13,6.9081680933259945e-9,0.3159076768767766,0.006318153537535532,.,0
.,1,40,0,0,2,0,0,0,0,6.332530406778002e-14,3.791286578596786e-9,0.2858450896344806,0.005716901792689613,.,0
.,1,41,0,0,2,0,0,0,0,2.84424971568878e-14,2.080702597084897e-9,0.2586433344836534,0.005172866689673068,.,0
.,1,42,0,0,2,0,0,0,0,1.2742307779475621e-14,1.141862300939222e-9,0.2340301678547013,0.004680603357094026,.,0
.,1,43,0,0,2,0,0,0,0,5.550583725414385e-15,6.267252209019587e-10,0.2117592533115144,0.0042351850662302884,.,0
.,1,44,0,0,2,0,0,0,0,2.545543610056414e-15,3.4396350929362787e-10,0.1916076962792842,0.003832153925585684,.,0
.,1,45,0,0,2,0,0,0,0,9.33289486093477e-16,1.887748796178219e-10,0.1733738133240229,0.003467476266480458,.,0
.,1,46,0,0,2,0,0,0,0,7.8112450292442e-16,1.0361077410703359e-10,0.1568751136837384,0.003137502273674768,.,0
.,1,47,0,0,2,0,0,0,0,3.436802100454056e-16,5.6872107659277386e-11,0.141946472863955,0.0028389294572791,.,0
.,1,48,0,0,2,0,0,0,0,1.36360660906551e-16,3.120935529175977e-11,0.1284384800298379,0.002568769600596758,.,0
.,1,49,0,0,2,0,0,0,0,5.980211358137675e-17,1.7133860504630918e-11,0.1162159426599937,0.002324318853199874,.,0
.,1,50,0,0,2,0,0,0,0,2.2394348964609078e-17,9.402318898681029e-12,0.1051565334980707,0.002103130669961413,.,0
.,1,51,0,0,2,0,0,0,0,1.089223494233797e-17,5.159994725250409e-12,0.0951495662636589,0.001902991325273178,.,0
.,1,52,0,0,2,0,0,0,0,5.169262775158403e-18,2.831936751766512e-12,0.08609488786684837,0.001721897757336967,.,0
.,1,53,0,0,2,0,0,0,0,2.923951751845984e-18,1.554173876954912e-12,0.07790187604416136,0.001558037520883227,.,0
.,1,54,0,0,2,0,0,0,0,1.797735019080468e-18,8.529480246311074e-13,0.07048853238006418,0.001409770647601284,.,0
.,1,55,0,0,2,0,0,0,0,6.707075108622309e-19,4.680755356765821e-13,0.06378066163993182,0.001275613232798636,.,0
.,1,56,0,0,2,0,0,0,0,-3.001990872633452e-19,2.569181308975102e-13,0.05771112919991125,0.001154222583998225,.,0
.,1,57,0,0,2,0,0,0,0,3.1215704812581815e-18,1.409841355010216e-13,0.05221918913743705,0.001044383782748741,.,0
.,1,58,0,0,2,0,0,0,0,2.0655673875464398e-18,7.733446896539402e-14,0.04724987627119218,9.449975254238436e-4,.,0
.,1,59,0,0,2,0,0,0,0,-7.699267187380018e-18,4.2505184461824414e-14,0.04275345604805264,8.550691209610527e-4,.,0
.,1,60,0,0,2,0,0,0,0,9.121488154956757e-18,2.3150101565602823e-14,0.03868492678254148,7.736985356508296e-4,.,0
.,1,61,0,0,2,0,0,0,0,-1.53220401719934e-17,1.2911567565408811e-14,0.035003569266615,7.000713853323002e-4,.,0
.,1,62,0,0,2,0,0,0,0,4.47363509020146e-17,6.650421073926564e-15,0.03167253923718794,6.334507847437588e-4,.,0
.,1,63,0,0,2,0,0,0,0,-4.4600185372615186e-17,3.919560969187752e-15,0.02865849862600938,5.731699725201875e-4,.,0
.,1,64,0,0,2,0,0,0,0,1.308639923876643e-16,1.944133768378672e-15,0.02593128190152444,5.186256380304887e-4,.,0
.,1,65,0,0,2,0,0,0,0,-2.0712790811823451e-16,1.4822414975032e-15,0.02346359416211714,4.692718832423427e-4,.,0
.,1,66,0,0,2,0,0,0,0,4.981835471990566e-16,-2.036748343566335e-15,0.02123073795933976,4.246147591867952e-4,.,0
.,1,67,0,0,2,0,0,0,0,3.429843485717063e-15,3.210199202405012e-15,0.01921036611797892,3.842073223595784e-4,.,0
.,1,68,0,0,2,0,0,0,0,-1.7563850397864e-15,1.522182882140942e-15,0.01738225807758702,3.476451615517405e-4,.,0
.,1,69,0,0,2,0,0,0,0,1.470696811320776e-15,-4.000653822130436e-15,0.01572811751844427,3.145623503688854e-4,.,0
.,1,70,0,0,2,0,0,0,0,6.610432282301367e-15,1.0853457265404311e-14,0.01423138924582443,2.846277849164886e-4,.,0
.,1,71,0,0,2,0,0,0,0,-1.996982146307207e-14,-1.3183971248242801e-14,0.01287709350021328,2.575418700042656e-4,.,0
.,1,72,0,0,2,0,0,0,0,2.750698965550341e-14,5.906765788505027e-15,0.01165167603437794,2.330335206875588e-4,.,0
